"","ANALYSIS","n","max.prep","max.start","max.duration","max.completed","90.pct.completed","99.pct.completed"
"101","SLURY_PREP",24,3.79,4.89,9.93,11.94,11.1,11.75
"102","SNFM020606",4,0.99,4.2,0.14,4.33,4.33,4.33
"103","SOLI030693",205,5.35,7.21,35.2,39.35,13.03,38.58
"104","SOLI050796",48,4.13,7.13,11.04,15.7,7.47,14.51
"105","SUGA030310",21,4.11,5.25,34.14,39.35,39.1,39.35
"106","SUGA090202",6,6.39,8.18,1.35,9.41,9.41,9.41
"107","TAUR010607",18,4.09,5.92,14.86,18.73,18.09,18.62
"108","TCAR010793",4,0.25,3.11,6.3,8.28,8.28,8.28
"109","TITA020493",142,5.35,7.09,13.98,16.08,7.56,15.24
"110","TITA080803",42,2.97,5.18,4.11,7.9,6.31,7.54
"111","TITA140613",17,5.39,7.05,19.46,22.36,16.61,21.63
"112","TITA150613",8,1.28,4.46,20.96,22.29,17.92,21.85
"113","TURB021297",12,2.7,6.76,3.02,6.97,6.9,6.96
"114","VIB2030195",21,3.2,5.32,4.77,8.84,6.7,8.45
"115","VIK1010507",11,4.09,4.96,13.89,18.73,18.11,18.66
"116","VITA120507",71,4.11,6.88,34.42,39.35,18.11,39.35
"117","VITB011208",83,4.11,5.83,34.41,39.35,18.08,39.35
"118","VITC030694",57,3.79,5.15,15.09,18.08,17.06,18.08
"119","VITC070108",9,4.11,7.88,32.14,39.35,39.35,39.35
"120","VITD050115",41,4.09,6.65,15.84,18.73,18.08,18.48
"121","VITE050507",66,4.84,6.87,33.31,39.35,18.42,39.35
"122","WACT011204",2,0.1,1.24,3.86,5.1,5.1,5.1
"123","WETT010693",31,4.11,6.25,34.07,39.35,12.24,39.35
"124","WFNO010693",12,0.21,5.39,5.87,11.25,10.93,11.25
"125","WFNO020314",4,2.13,7.17,1.88,7.2,6.91,7.17
"126","WHPN011299",27,2.13,4.97,7.26,7.58,6.67,7.49
"127","WHPN020292",40,1.87,5.02,7.15,9.2,8.16,8.84
